coach_code,name,gender,function,country_code,disciplines,birth_date
1555083,GEORGALLAS Irodotos,M,Coach,CYP,Artistic Gymnastics,1977-12-14
1555113,PETRIDIS Panagiotis,M,Coach,CYP,Artistic Gymnastics,1964-05-06
1555115,FLANNERY Eimear,F,Assistant Coach,IRL,Rugby Sevens,1982-02-02
1555131,SHIPPI Panayiotis,M,Coach,CYP,Artistic Gymnastics,1982-03-25
1555182,TRIKOMITI Chrystalleni,F,Coach,CYP,Rhythmic Gymnastics,1993-11-30
1556249,DEACU George,M,Assistant Coach,ROU,Water Polo,1984-11-24
1556255,RATH Bogdan,M,Head Coach,ROU,Water Polo,1972-06-28
1557013,ARIAS Ramon,M,Coach,CHI,Taekwondo,1956-08-18
1559048,WIBERG Johanna,F,Assistant Coach,SWE,Handball,1983-09-06
1559066,FORSBERG Thomas,M,Assistant Coach,SWE,Handball,1980-09-04
1559067,AXNER Tomas,M,Head Coach,SWE,Handball,1969-11-30
1560169,DIOVOL Alioune,M,Coach,SEN,Taekwondo,1979-06-19
1561282,da ROCHA Cristiano,M,Head Coach,BRA,Handball,1981-06-10
1561719,ALTENBURG Valentin,M,Head Coach,GER,Hockey,1981-06-04
1561732,HENNING Andre,M,Head Coach,GER,Hockey,1983-12-03
1561734,SCHMITZ Johannes,M,Assistant Coach,GER,Hockey,1988-03-23
1561740,ARKELL Robin,M,Coach,GER,Hockey,1988-05-18
1561741,GADEMAN Pasha,M,Assistant Coach,GER,Hockey,1988-03-06
1562260,WEIDINGER Markus,M,Coach,AUT,Taekwondo,1984-12-25
1562563,SOLBERG Glenn,M,Head Coach,SWE,Handball,1972-02-18
1562564,SVENSSON Tomas,M,Assistant Coach,SWE,Handball,1968-02-15
1562566,APELGREN Michael,M,Assistant Coach,SWE,Handball,1984-08-20
